Source_File,phone,minTime,maxTime,Preceding Token,Following Token,isWordInitial,Containing Word,Phones Per Second,K,G,B,P,D,T,ʈ,k,g,b,p,d,t,tsʰ,pʲ,tɕʰ,tɕ,ʈʂ,tʰ,kʰ,ʈʂʰ,pʷ,tʷ,ts,pʰ,kʷ,tʲ,tɕʷ
F03B_man_isolated.csv,ʈʂ,95.07349,95.13349,n,u˥˩,True,"Interval(95.07349, 95.29349, 中)",11.290322580645078,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,t,95.75349,95.81349,n,w,True,"Interval(95.75349, 95.95349, 多)",11.864406779661092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕ,97.49619,97.57619,ej˥˩,aw˥˩,False,"Interval(97.26619, 97.71619, 睡觉)",10.20408163265302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕʰ,97.71619,97.85619,aw˥˩,e˧˥,True,"Interval(97.71619, 98.06619, 前)",9.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕ,98.06619,98.18619,n,i˥˩,True,"Interval(98.06619, 98.38619, 记得)",12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,t,98.24619,98.31619,i˥˩,ə˩,False,"Interval(98.06619, 98.38619, 记得)",10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,k,98.38619,98.45619,ə˩,w,True,"Interval(98.38619, 98.93619, 关灯)",11.382113821138306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,t,98.66619,98.73619,n,o˥,False,"Interval(98.38619, 98.93619, 关灯)",10.119315934242858,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tʰ,99.77916,99.92916,,aw˨˩˦,True,"Interval(99.77916, 100.25916, 讨论)",14.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,kʰ,100.41916,100.51916,n,w,False,"Interval(100.25916, 100.65916, 很快)",11.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕ,100.65916,100.77916,aj˥˩,e˧˥,True,"Interval(100.65916, 101.14916, 结束)",12.307692307692335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,ʈʂʰ,102.38549,102.50549,,o˧˥,True,"Interval(102.38549, 102.80549, 成绩)",12.195121951219614,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕ,102.64549,102.73549,ŋ,i˥,False,"Interval(102.38549, 102.80549, 成绩)",12.871287128712988,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕʰ,103.04549,103.16549,n,e˧˥,False,"Interval(102.80549, 103.33549, 面前)",10.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,pʷ,103.33549,103.41549,n,u˥˩,True,"Interval(103.33549, 103.47549, 不)",10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕ,103.47549,103.59549,u˥˩,aw˥,True,"Interval(103.47549, 104.01549, 骄傲)",11.111111111111095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,t,104.95651,105.01651,,o˨˩˦,True,"Interval(104.95651, 105.12651, 等)",10.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,pʲ,105.74651,105.83651,e˥,i˨˩˦,True,"Interval(105.74651, 106.28651, 饼干)",10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,k,106.00651,106.07651,ŋ,a˥,False,"Interval(105.74651, 106.28651, 饼干)",8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,ʈʂʰ,106.28651,106.48651,n,ʐ̩˥,True,"Interval(106.28651, 106.61651, 吃)",10.227272727272615,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕ,109.23803,109.33803,ow˧˥,i˨˩˦,True,"Interval(109.23803, 109.75803, 景点)",12.820512820512802,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,t,109.50803,109.55803,ŋ,j,False,"Interval(109.23803, 109.75803, 景点)",10.447534381885857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tʰ,110.84515,110.95515,ej˨˩˦,j,False,"Interval(110.63515, 111.10515, 每天)",10.28037383177563,,,,,,,,,,,,,,,,,,,,,,,,,,,,
